Year,Song,Artist,query_idx,official,topic,channel_artist_same,keywords,video_title,video_channel,video_url
1998,커플 (Couple),Sechskies,7,False,False,False,True,"sechskies - ""couple (커플)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=A2uzUFQYrHE
1998,A-Yo,지누션,1,False,True,False,True,a-yo,jinusean - topic,https://www.youtube.com/watch?v=Z-vlH4KT7hQ
1998,Sha La La,지누션,7,False,False,False,True,yuki hsu (徐懷鈺) - walking on wave (踏浪)(la la la)(lyrics),kizu no otoko,https://www.youtube.com/watch?v=tUmiraY-9EM
1998,1TYM is back,1TYM,5,False,False,False,True,yang hyun suk (양현석) ft. perry & 1tym - 널 버리지마 (yg baby) (color coded lyrics han/rom/eng),luna uchiha,https://www.youtube.com/watch?v=Wyk8_o-ol3g
1998,Monade,H.O.T.,0,False,True,True,True,monade,h.o.t. - topic,https://www.youtube.com/watch?v=SMFtGh76xmk
1998,니가 날 알어 (Do You Know Me?) (Instrumental),1TYM,0,False,True,True,True,니가 날 알어? (do you know me) (instrumental),1tym - topic,https://www.youtube.com/watch?v=OtJefKhFxGg
1998,어쩔겁니까 (What You Gonna Do?) (Remix),1TYM,0,False,True,True,True,어쩔겁니까? (what you going to do),1tym - topic,https://www.youtube.com/watch?v=KwNyRI6YcoE
1998,Tell Me,지누션,1,False,False,False,True,"jinusean - ""tell me  feat. 엄정화"" (말해줘) lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=JnyKmW9VZiM
1998,Fake Love Song,지누션,3,False,True,False,True,want you to say (말해줘),playback - topic,https://www.youtube.com/watch?v=DWYYKZYSwwc
1998,Dreams Come True,S.E.S.,5,False,False,False,True,aespa 'dreams come true' lyrics (에스파 dreams come true 가사) (color coded lyrics),jaeguchi,https://www.youtube.com/watch?v=IC56khwGtdQ
1998,Shinhwa Knight,Shinhwa,8,False,False,False,True,shinhwa (신화) - wild eyes [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=DxjafAgnLr8
1998,How Deep Is Your Love,지누션,5,False,False,False,True,"jinusean - ""how deep is your love"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=vXimP8cnpOE
1998,Intro (What U Wanna Do),지누션,0,False,True,False,True,what u wanna do (feat. perry),jinusean - topic,https://www.youtube.com/watch?v=eU7tN8RsM7s
1998,Shy Boy,S.E.S.,4,False,False,False,True,"s.e.s. (에스이에스) - ""shy boy"" lyrics (color coded han/rom/eng)",shooddenly,https://www.youtube.com/watch?v=-dZ69ALEC60
1998,이 세상에 버려진 모든 아이들을 위하여 (In I),H.O.T.,1,False,False,False,True,h.o.t. (에쵸티) in i 이세상에 버려진 모든 아이들을 위하여 color-coded lyrics [han/rom/eng] 가사,키요미와（きよみわ）,https://www.youtube.com/watch?v=C3y5wSv6DqM
1998,홀로서기 (All Alone),H.O.T.,0,False,True,True,True,홀로서기 (all alone),h.o.t. - topic,https://www.youtube.com/watch?v=H1woKoL83OE
1998,으쌰! 으쌰! (Eusha! Eusha!),Shinhwa,6,False,False,False,True,"shinhwa (신화) - ""eusha! eusha! (으쌰! 으쌰!)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=Ftfr1Rwffnw
1998,천일의 약속 (A Thousand Days Promise),Shinhwa,1,False,True,False,True,사랑하지마,release - topic,https://www.youtube.com/watch?v=E1MOwp23xmA
1998,우리들의 맹세 (The Promise of H.O.T.),H.O.T.,2,False,False,False,True,"h.o.t (에이치오티) - ""promise of h.o.t"" (우리들의 맹세) lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=29U52i5KHmg
1998,아빠! 사랑해요 (H.O.T. (House Of Trust)),H.O.T.,7,False,False,False,True,h.o.t. (에이치오티) - 아빠! 사랑해요 h.o.t. (house of trust) color-coded lyrics [han/rom/eng],tony's candy,https://www.youtube.com/watch?v=Esgf13AJ4R0
1998,"후에 (Since, You’ve Gone)",H.O.T.,0,False,True,True,True,"후에... (since, you've gone)",h.o.t. - topic,https://www.youtube.com/watch?v=tKVuCGw3Pl8
1998,하나라는 아름다운 느낌 (Unity Is as Beautiful as One),H.O.T.,0,False,True,True,True,하나라는 아름다운 느낌 (unity is as beautiful as one),h.o.t. - topic,https://www.youtube.com/watch?v=-P68eXyXYtc
1998,"소년이여! 신화가 되어라 (Boys, Be A Legend!)",H.O.T.,1,False,False,False,True,"h.o.t. (에이치오티) - boys, be a legend! (소년이여! 신화가 되어라) color-coded lyrics [han/rom/eng]",tony's candy,https://www.youtube.com/watch?v=1KZ7Kaei0-I
1999,흐린 기억 속의 그대 (You in the Faded Memory),YG Family,0,False,False,False,True,jyp nation - you in my blurred memories   [color coded lyrics eng/ rom/ han],music lyrics,https://www.youtube.com/watch?v=wEyaOkqBUCA
1999,악몽 (Nightmare),YG Family,8,False,False,False,True,"bang yedam (방예담), kim sungyeon (김성연) - nightmare [가사/color coded/han|rom|eng lyrics]",koyeons,https://www.youtube.com/watch?v=rujr4f70aE8
1999,우리는 Y.G. Family (We Are Y.G. Family),YG Family,8,False,False,False,True,yg family hip hop gentlemen (멋쟁이 신사) lyrics (color coded lyrics eng/rom/han),murmast,https://www.youtube.com/watch?v=vrgDRv5gxKw
1999,인디언 인형처럼 (Like an Indian Doll),Fin.K.L,0,False,False,False,True,fin.k.l (핑클) - like an indian doll (인디언 인형처럼) [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=cIjUzBeyB0o
1999,Intro,YG Family,4,False,False,False,True,yang hyun suk (양현석) ft. perry & 1tym - 널 버리지마 (yg baby) (color coded lyrics han/rom/eng),luna uchiha,https://www.youtube.com/watch?v=Wyk8_o-ol3g
1999,화이트 (White),Fin.K.L,2,False,False,False,True,fin.k.l (핑클) – 화이트 (white) lyrics (han|rom|eng|color coded) #tbs,kim jihye,https://www.youtube.com/watch?v=dC6eNVcnTRA
1998,You Got Gun?,H.O.T.,0,False,True,True,True,you got gun?,h.o.t. - topic,https://www.youtube.com/watch?v=gmOP5axhUZI
1998,Techno Love,H.O.T.,1,False,False,False,True,h.o.t. techno love — [ line distribution and lyrics han/eng/rom ],kyushroom,https://www.youtube.com/watch?v=NaxG85uoutM
1999,Waiting For You,Fin.K.L,0,False,False,False,True,fin.k.l (핑클) - waiting for you [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=VIXUnYaBJQA
1999,나의 왕자님께 (To My Prince),Fin.K.L,0,False,False,False,True,fin.k.l (핑클) - to my prince (나의 왕자님께) [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=kDLtXnGt0Z8
1999,Twilight Zone,S.E.S.,3,False,False,False,True,"s.e.s - ""twilight zone"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=nNqVC4RYFRo
1999,영원한 사랑 (Eternal Love),Click-B,4,False,False,True,True,click b finklickb [클릭비] 핑클릭비,click,https://www.youtube.com/watch?v=C4F48GYqp8Q
1999,Waiting for You,S.E.S.,1,False,False,False,True,s.e.s (에스이에스) - i've been waiting for you lyrics [color coded han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=_S9w-LthC-w
1999,"Snow, X-Mas",S.E.S.,6,False,False,False,True,"s.e.s. - snow, x-mas | 가사 lyrics |",별이 빛나는 밤 with music on,https://www.youtube.com/watch?v=rFN5lmYCudk
1999,To Be Continued...,Click-B,3,False,False,False,True,click-b (클릭비) - to be continued - han/rom/eng lyrics (가사) [2001],oldschoolkpoplyrics,https://www.youtube.com/watch?v=ruySOa8-wD8
1999,드리밍 (Dreaming),Click-B,8,False,False,False,True,click-b (클릭비) dreaming - han/rom/eng lyrics (가사) [1999],oldschoolkpoplyrics,https://www.youtube.com/watch?v=sWDsJTUEAlY
1999,그대로 멈춰 (Stop),Sechskies,1,False,False,True,True,stop (그대로 멈춰),sechskies,https://www.youtube.com/watch?v=qPVWrzxrRPw
1999,원 (Won),H.O.T.,2,False,False,False,True,taemin (태민) - 'want’ lyrics [han|rom|eng color coded] 가사,luhvn,https://www.youtube.com/watch?v=2UcGPCglCl0
1999,백전무패 (Undefeatable),Click-B,0,False,False,False,True,click-b (클릭비) - undefeatable (백전무패) - han/rom/eng lyrics (가사) [2001],oldschoolkpoplyrics,https://www.youtube.com/watch?v=5LpNWN5t87A
1999,Com'Back,Sechskies,0,False,False,False,True,sechs kies (젝스키스) - com'back - han/rom/eng lyrics (가사) [1999],oldschoolkpoplyrics,https://www.youtube.com/watch?v=DvMS3rPgKjE
1999,한 폭의 그림 (A Piece of Picture),S.E.S.,0,False,False,False,True,s.e.s. (에스이에스) - paradise (한 폭의 그림) lyrics [color coded han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=9RO_J4dCDxE
1999,예감 (Hunch),Sechskies,0,False,False,False,True,"sechskies - ""hunch (예감)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=uycRNOq3O4c
1999,Get Ready Part 2,YG Family,2,False,True,False,True,get ready,release - topic,https://www.youtube.com/watch?v=h-mVZxzYgDc
1999,Yo!,Shinhwa,8,False,False,False,True,"shinhwa (신화) - ""yo!"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=Bwk5xc62dx0
1999,T.O.P (Twinkling Of Paradise),Shinhwa,1,False,False,False,True,"shinhwa (신화) - ""t.o.p (twinkling of paradise)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=UZ3NPK3Uh9A
1999,빗속의 여인 (Woman In The Rain),Shinhwa,2,True,False,False,True,kim gun mo(김건모) - the woman in the rain(빗속의 여인) (official audio),music&new 뮤직앤뉴,https://www.youtube.com/watch?v=41EONK-vUR8
1999,악동보고서 (The Bad Boys Diary),Shinhwa,4,False,False,False,True,"shinhwa (신화) - ""perfect man"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=muZg1TzDepM
1999,어머님께 (To Mother),g.o.d,0,False,False,False,True,god(지오디) - 어머님께 [가사/lyrics],웅키,https://www.youtube.com/watch?v=XqExbtyrbs0
