Year,Song,Artist,query_idx,official,topic,channel_artist_same,keywords,video_title,video_channel,video_url
2000,All Your Dreams,Shinhwa,4,False,False,False,True,shinhwa (신화) - all your dreams [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=2mEdLIbuf8A
2000,Outside Castle,H.O.T.,3,False,False,False,True,h.o.t (에이치오티) - outside castle (color coded lyrics eng/rom/han/가사),rinkashi,https://www.youtube.com/watch?v=Eqd0G6L283Y
2000,True Love (All About Eve OST),Fin.K.L,3,False,True,False,True,true love (main theme),핑클 - topic,https://www.youtube.com/watch?v=3JuaPWSDl70
2000,전사의 후예 (Warrior’s Descendant) II,H.O.T.,2,False,False,False,True,"h.o.t (에이치오티) - ""warrior's descendant (전사의 후예)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=hN_dGDNYgnU
2000,Shy Love,BoA,1,False,False,False,True,boa (보아) - shy love (color coded lyrics han/rom/eng),twentycolors,https://www.youtube.com/watch?v=h2TcQRmXcq4
2000,Valenti,BoA,3,False,False,True,True,valenti,boa,https://www.youtube.com/watch?v=uoGn6D8C5vU
2000,하얀밤에 (White Night),Sechskies,0,False,False,True,True,white night (하얀밤에),sechskies,https://www.youtube.com/watch?v=Arrp0k-KxeA
2000,약속 (Promise),Sechskies,0,False,False,True,True,약속 (약속),sechskies,https://www.youtube.com/watch?v=8ndeR2qwhg4
2000,아이야! (I Yah!) II,H.O.T.,6,False,False,False,True,"h.o.t (에이치오티) - ""i yah! (아이야!)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=rcq71RcV770
2000,I'm Sorry,BoA,1,False,False,False,True,boa (보아) - i'm sorry (비밀일기) (color coded lyrics han/rom/eng),twentycolors,https://www.youtube.com/watch?v=L23CmV0Pc3U
2000,카우보이 (Cowboy),Click-B,8,False,False,False,True,click-b (클릭비) cowboy - han/rom/eng lyrics (가사) [2003],oldschoolkpoplyrics,https://www.youtube.com/watch?v=P9i7gXRm60A
2000,Song of Hope,H.O.T.,3,False,False,False,True,xxxtentacion - hope | lyrics,dynamicvibes,https://www.youtube.com/watch?v=58xKTGxmeHI
2000,First Love,Shinhwa,2,False,False,False,True,"shinhwa (신화) - ""first love"" (퍼스트 러브) lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=G_Orxucawlg
2000,My Life Style,Shinhwa,4,False,False,False,True,shinhwa (신화) - my life style [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=AYZofFjBXyI
2000,너의 곁에서 Ⅱ (In Your Eyes II),Shinhwa,5,False,False,True,True,shinhwa (신화) - just 2 be with u,shinhwasubs&cuts,https://www.youtube.com/watch?v=OXwPx5VfZkM
2000,천일유혼 (I Swear),Shinhwa,1,False,False,True,True,shin hyesung (신혜성) - i swear... (바램),shinhwasubs&cuts,https://www.youtube.com/watch?v=UeIxiwYK1tY
2000,비밀 (Secret),H.O.T.,2,False,False,False,True,wjsn (cosmic girls) (우주소녀) - secret (비밀이야) lyrics (han|rom|eng|color coded),kim jihye,https://www.youtube.com/watch?v=EkN_lvANr0s
2000,Remember,Shinhwa,4,False,False,True,True,shinhwa (신화) - all your dreams,shinhwasubs&cuts,https://www.youtube.com/watch?v=DKp-SEKAizI
2000,I Wanna Be Your Everything,Shinhwa,2,False,False,True,True,shinhwa (신화) - i wanna be,shinhwasubs&cuts,https://www.youtube.com/watch?v=MfoxWsIiNVQ
2001,Intro (태권V),지누션,4,False,True,False,True,"what's up - intro ft. perry, jieun",jinusean - topic,https://www.youtube.com/watch?v=FYUMIrVwuIY
2001,2 All My People,지누션,1,False,True,False,True,"2 all of my people ft. snoop dogg, warren g, perry",jinusean - topic,https://www.youtube.com/watch?v=oFOqi97qiKA
2000,손 (Hands),Click-B,8,False,False,False,True,bts (방탄소년단) - love maze (color coded lyrics eng/rom/han),jaeguchi,https://www.youtube.com/watch?v=h778hgEP1JI
2001,영원히 너와 함께 (Forever With You),Shinhwa,4,False,False,False,True,"toil, kid wine - 네 옆에 그 사람은 내가 아닌 다른사람ㅣlyrics/가사",알파,https://www.youtube.com/watch?v=iwgkwriv0OE
2001,Microphone,지누션,1,False,True,False,True,"micro phone ft. teddy, danny of 1tym",jinusean - topic,https://www.youtube.com/watch?v=QWR6ziRhmJs
2001,Hey DJ,1TYM,5,False,True,True,True,put'em up,1tym - topic,https://www.youtube.com/watch?v=3Qx1Q2ZwHMA
2001,보이네 (I Can See),지누션,0,False,True,False,True,보이네 (i can see) ft. gummy,jinusean - topic,https://www.youtube.com/watch?v=kPt2Sg8bhls
2001,Welcome (인사),지누션,2,False,True,False,True,return of the bomb (feat. perry & amp; legacy),jinusean - topic,https://www.youtube.com/watch?v=NOW1EKyPCNo
2001,"Hey, Come On!",Shinhwa,8,False,False,False,True,"shinhwa (신화) - hey, come on! [color coded lyrics han/rom/eng]",ksector lyrics,https://www.youtube.com/watch?v=WI_TbSac2tI
2001,Wild Eyes,Shinhwa,6,False,False,False,True,shinhwa (신화) - wild eyes [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=DxjafAgnLr8
2001,Hot 뜨거 (Hot),1TYM,3,False,True,True,True,hot 뜨거,1tym - topic,https://www.youtube.com/watch?v=uWUGSbstTds
2001,Endless Love,Shinhwa,1,False,False,False,True,shinhwa (신화) - endless love [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=L8fZHJqfVz8
2001,Reminiscence,Shinhwa,1,False,False,True,True,reminiscence,shinhwa official,https://www.youtube.com/watch?v=r7EtkM6Z8WI
2001,얼음 (Ice),1TYM,5,False,True,False,True,너에게 두번째 이야기,people crew - topic,https://www.youtube.com/watch?v=1YgKtBIBLAI
