Year,Song,Artist,query_idx,official,topic,channel_artist_same,keywords,video_title,video_channel,video_url
1998,커플 (Couple),Sechskies,0,False,False,True,True,sechskies - ‘커플 (couple)’ m/v,sechskies,https://www.youtube.com/watch?v=42GaJk4YNLQ
2003,Let Me Love You,SE7EN,0,False,False,True,True,se7en - i'm going crazy m/v,officialse7en,https://www.youtube.com/watch?v=l5nEUWiCXPs
2003,I'll Do Well,SE7EN,2,False,False,True,True,se7en - be good to you (잘할게) m/v,officialse7en,https://www.youtube.com/watch?v=UqNA6RfXzbw
2004,Hikari (光),SE7EN,0,False,False,True,True,"seven - hikari (光,히카리) m/v",officialse7en,https://www.youtube.com/watch?v=x-9m0-RtQww
2005,Start Line,SE7EN,0,False,False,True,True,se7en - start line (スタートライン) m/v,officialse7en,https://www.youtube.com/watch?v=0gt-VY1XWVw
2006,Girls (feat. Lil' Kim),SE7EN,2,False,False,True,True,se7en - girls (feat. lil kim) m/v,officialse7en,https://www.youtube.com/watch?v=zT2W-SXSHMA
2006,I Know,SE7EN,1,False,False,True,True,se7en - i know (난 알아요) feat. teddy m/v,officialse7en,https://www.youtube.com/watch?v=QEG9FaPkMNk
2006,Dirty Cash,BigBang,0,False,False,True,True,bigbang - dirty cash m/v,bigbang,https://www.youtube.com/watch?v=CAQIvr-rjBk
2006,I Know (feat. Teddy),SE7EN,1,False,False,True,True,se7en - i know (난 알아요) feat. teddy m/v,officialse7en,https://www.youtube.com/watch?v=QEG9FaPkMNk
2006,Hikari,SE7EN,0,False,False,True,True,"seven - hikari (光,히카리) m/v",officialse7en,https://www.youtube.com/watch?v=x-9m0-RtQww
2006,This Love,BigBang,1,False,False,True,True,bigbang - this love m/v,bigbang,https://www.youtube.com/watch?v=zlm6jZcGFbc
2006,A Fool of Tears,BigBang,0,False,False,True,True,bigbang - 눈물뿐인 바보(a fool of tears) m/v,bigbang,https://www.youtube.com/watch?v=MVetyA1KfG0
2007,Love Again,SE7EN,1,False,False,True,True,se7en - love again m/v (short ver.),officialse7en,https://www.youtube.com/watch?v=6useA_JSTp4
2007,Always,BigBang,0,False,False,True,True,bigbang - always m/v,bigbang,https://www.youtube.com/watch?v=O7hx2BG-9TY
2007,Last Farewell,BigBang,0,False,False,True,True,bigbang - 마지막 인사(last farewell) m/v,bigbang,https://www.youtube.com/watch?v=ScorpVvqLwo
2008,Only You,2PM,0,False,False,True,True,"2pm ""only you"" m/v",2pm,https://www.youtube.com/watch?v=8lh_MbSDKzA
2008,Pretty Girl,KARA,0,False,False,True,True,kara - pretty girl m/v,kara official,https://www.youtube.com/watch?v=cSh16dtQYzE
2008,Rock U,KARA,0,False,False,True,True,kara - rock u m/v,kara official,https://www.youtube.com/watch?v=aqF3qmxv-H8
2008,This Song,2AM,0,False,False,True,True,"2am ""this song(이노래)"" m/v",2am,https://www.youtube.com/watch?v=6eWE-z_SgrQ
2008,Number 1,BigBang,0,False,False,True,True,bigbang - number 1 m/v,bigbang,https://www.youtube.com/watch?v=uMYTn91_iBY
2008,How Gee,BigBang,2,False,False,True,True,bigbang - how gee m/v,bigbang,https://www.youtube.com/watch?v=qIduVEqX4Yk
2009,Wedding Dress,Taeyang,0,False,False,True,True,taeyang - wedding dress m/v,taeyang,https://www.youtube.com/watch?v=vXNmN0kHRwA
2009,Heartbeat,2PM,0,False,False,True,True,"2pm ""heartbeat"" m/v",2pm,https://www.youtube.com/watch?v=bKtvDv7eykg
2009,I Hate You (니가 밉다),2PM,1,False,False,True,True,"2pm(투피엠) ""니가 밉다"" m/v",2pm,https://www.youtube.com/watch?v=M4rZvGF7ICY
2009,Again & Again,2PM,0,False,False,True,True,"2pm ""again & again"" m/v",2pm,https://www.youtube.com/watch?v=cUgReo37ECw
2009,Fire,2NE1,0,False,False,True,True,2ne1 - fire (street ver.) m/v,2ne1,https://www.youtube.com/watch?v=49AfuuRbgGo
2010,Can't Nobody,2NE1,0,False,False,True,True,2ne1 - can't nobody m/v,2ne1,https://www.youtube.com/watch?v=Ihi_kJJj_8A
2010,Go Away,2NE1,0,False,False,True,True,2ne1 - go away m/v,2ne1,https://www.youtube.com/watch?v=3yW13T2sfKg
2010,Can't Let You Go Even If I Die (죽어도 못 보내),2AM,1,False,False,True,True,"2am(투에이엠) ""죽어도 못보내"" m/v",2am,https://www.youtube.com/watch?v=hOREkPq1aVQ
2010,A,Rainbow,0,False,False,True,True,"[m/v]레인보우(rainbow)full hd ""a""",rainbow official,https://www.youtube.com/watch?v=QnAhnxmSNFw
2010,Follow Me (날 따라 해봐요),2NE1,0,False,False,True,True,2ne1 - 날 따라 해봐요(follow me) m/v,2ne1,https://www.youtube.com/watch?v=0q62LBAbphk
2010,Kiss (Dara Solo),2NE1,0,False,False,True,True,dara - kiss m/v,2ne1,https://www.youtube.com/watch?v=ZAqiMCp9zrI
2010,It Hurts (Slow) (아파),2NE1,0,False,False,True,True,2ne1 - 아파(it hurts) m/v,2ne1,https://www.youtube.com/watch?v=aUiMaz4BNKw
2010,Clap Your Hands (박수쳐),2NE1,0,False,False,True,True,2ne1 - 박수쳐(clap your hands) m/v,2ne1,https://www.youtube.com/watch?v=ZTw-UM5Jy4E
2010,외톨이야 (I'm a Loner),CNBLUE (씨엔블루),2,False,False,True,True,cnblue - 외톨이야 m/v,cnblue (씨엔블루),https://www.youtube.com/watch?v=7arOrCfvumQ
2010,블루토리 (Bluetory),CNBLUE (씨엔블루),0,False,False,True,True,cnblue - 외톨이야 m/v,cnblue (씨엔블루),https://www.youtube.com/watch?v=7arOrCfvumQ
2010,I'm Going Crazy,SE7EN,0,False,False,True,True,se7en - i'm going crazy m/v,officialse7en,https://www.youtube.com/watch?v=l5nEUWiCXPs
2010,Without U,2PM,0,False,False,True,True,"2pm ""without u"" m/v",2pm,https://www.youtube.com/watch?v=pB4920B2l5g
2010,Solar,Taeyang,2,False,False,True,True,taeyang - 나만 바라봐(only look at me) m/v,taeyang,https://www.youtube.com/watch?v=HekMm--rbBI
