title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
LO$ER=LO♡ER,198000.0,TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,,,KR,2021-08-17,,TOMORROW X TOGETHER
Lonely Boy (The tattoo on my ring finger),168751.0,TOMORROW X TOGETHER,minisode 2: Thursday’s Child,,,XW,2022-05-09,,TOMORROW X TOGETHER
Magic,160000.0,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,,,XW,2021-05-31,,TOMORROW X TOGETHER
Making of Jacket Photos,1027000.0,TOMORROW X TOGETHER,STILL DREAMING,,,JP,2021-01-20,,TOMORROW X TOGETHER
Making of Music Video,1101000.0,TOMORROW X TOGETHER,Chaotic Wonderland,,,JP,2021-11-10,,TOMORROW X TOGETHER
Maze in the Mirror,226000.0,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,,,XW,2020-05-18,,TOMORROW X TOGETHER
Miracle,164000.0,TOMORROW X TOGETHER,minisode 3: TOMORROW,,,KR,2024-01-14,,TOMORROW X TOGETHER
MOA Diary (Dubaddu Wari Wari),188000.0,TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,,,KR,2021-08-17,,TOMORROW X TOGETHER
New Rules,175000.0,TOMORROW X TOGETHER,The Dream Chapter : Magic,,,KR,2019-10-21,,TOMORROW X TOGETHER
No Rules,186000.0,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,,,XW,2021-05-31,,TOMORROW X TOGETHER
Opening Sequence,177976.0,TOMORROW X TOGETHER,minisode 2: Thursday’s Child,,,XW,2022-05-09,,TOMORROW X TOGETHER
Our Summer,210000.0,TOMORROW X TOGETHER,The Dream Chapter: STAR,,,KR,2019-03-04,,TOMORROW X TOGETHER
Outro : FALLING,129000.0,TOMORROW X TOGETHER,SWEET,,,JP,2023-07-05,,TOMORROW X TOGETHER
Outro : STILL,74000.0,TOMORROW X TOGETHER,STILL DREAMING,,,XW,2021-01-19,,TOMORROW X TOGETHER
Poppin' Star,193000.0,TOMORROW X TOGETHER,The Dream Chapter : Magic,,,KR,2019-10-21,,TOMORROW X TOGETHER
