title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
I ≠ DOLL,152000,HUH YUNJIN,I ≠ DOLL,,,XW,2023-01-09,,HUH YUNJIN
Last Christmas,211000,HUH YUNJIN,Last Christmas,,,XW,2022-12-01,,HUH YUNJIN
Raise y_our glass,212000,HUH YUNJIN,Raise y_our glass,,,XW,2022-08-09,,HUH YUNJIN
blessing in disguise,226000,HUH YUNJIN,blessing in disguise,,,XW,2023-08-14,,HUH YUNJIN
love you twice,172000,HUH YUNJIN,love you twice,,,XW,2023-03-14,,HUH YUNJIN
