title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
DESTINY,311800.0,BoA,Don’t Start Now / Jumping Into The World,,,XW,2001-01-03,,BoA
Diamond Heart,251000.0,BoA,LOVE LETTER,,,JP,2007-09-26,,BoA
Did Ya,181000.0,BoA,BoA,,,US,2009-03-17,,BoA
Discovery,266000.0,BoA,VALENTI,,,XW,2003-01-29,,BoA
Distance,211000.0,BoA,2011 SMTOWN Winter ’The Warmest Gift’,,,XW,2011-12-13,,BoA
DO THE MOTION,254000.0,BoA,DO THE MOTION,,,JP,2005-03-30,,BoA
Do You Love Me? (둘이 함께),212426.0,BoA,Girls On Top,,,XW,2005-06-24,,BoA
"Documentary of ""Jazzclub""",,BoA,私このままでいいのかな,,,JP,2018-02-14,,BoA
Documentary of BoA,,BoA,LIVE TOUR 2014 ～WHO'S BACK?～,,,JP,2015-02-25,,BoA
Don't Give A Damn (상관없어),183933.0,BoA,My Name,,,KR,2004-06-11,,BoA
Don't Know What To Say,248706.0,BoA,Hurricane Venus,,,KR,2010-08-05,,BoA
Don't start now,223640.0,BoA,Don’t Start Now / Jumping Into The World,,,XW,2001-01-03,,BoA
DOTCH,196000.0,BoA,KEY OF HEART / DOTCH,,,JP,2006-08-09,,BoA
DOUBLE,206493.0,BoA,DOUBLE,,,JP,2003-10-22,,BoA
Dreams come true,281160.0,BoA,Don’t Start Now / Jumping Into The World,,,XW,2001-01-03,,BoA
Dress Off,222000.0,BoA,BoA,,,US,2009-03-17,,BoA
Earthsong,208160.0,BoA,Shine We Are! / Earthsong,,,JP,2003-05-14,,BoA
EASY,202760.0,BoA,IDENTITY,,,XW,2010-02-10,,BoA
Eat You Up,193000.0,BoA,Eat You Up,,,CA,2008-10-21,,BoA
Encounter,210192.0,BoA,WOMAN,,,KR,2018-10-24,,BoA
ENDING,,BoA,ARENA TOUR 2005 -BEST OF SOUL-,,,JP,2005-07-06,,BoA
Energetic,223000.0,BoA,BoA,,,US,2009-03-17,,BoA
Etude,200346.0,BoA,My Name,,,KR,2004-06-11,,BoA
Everlasting,325000.0,BoA,Everlasting,,,JP,2006-01-18,,BoA
Every Heart,272853.0,BoA,MIRACLE,,,XW,2002-09-01,,BoA
EVERYBODY KNOWS,216000.0,BoA,"ONE SHOT, TWO SHOT",,,KR,2018-02-20,,BoA
Everything Needs Love,,BoA,LIVE TOUR 2004 -LOVE & HONESTY-,,,JP,2004-07-07,,BoA
EXPECT,260000.0,BoA,LOVE & HONESTY,,,JP,2004-01-15,,BoA
Fallin',310666.0,BoA,IDENTITY,,,XW,2010-02-10,,BoA
Feedback,199000.0,"BoA, 넉살",Feedback,,,KR,2019-06-04,,BoA
Feel Me,192066.0,BoA,My Name,,,KR,2004-06-11,,BoA
Feel The Same,282000.0,BoA,VALENTI,,,XW,2003-01-29,,BoA
Feelings Deep Inside (마음은 전해진다),264560.0,BoA,MIRACLE,,,XW,2002-09-01,,BoA
Feliz Navidad,222000.0,BoA,Winter Vacation in SMTOWN.com: Angel Eyes,,,KR,2001-12-04,,BoA
First snow,260760.0,BoA,Merry Christmas from BoA,,,JP,2005-12-07,,BoA
