2020,High Up Entertainment,STAYC,SO BAD
2020,High Up Entertainment,STAYC,LIKE THIS
2021,High Up Entertainment,STAYC,ASAP
2021,High Up Entertainment,STAYC,SO WHAT
2021,High Up Entertainment,STAYC,LOVE FOOL (사랑은 원래 이렇게 아픈 건가요)
2021,High Up Entertainment,STAYC,SO BAD (TAK Remix)
2021,High Up Entertainment,STAYC,STEREOTYPE
2021,High Up Entertainment,STAYC,I'LL BE THERE
2021,High Up Entertainment,STAYC,SLOW DOWN
2021,High Up Entertainment,STAYC,COMPLEX
2022,High Up Entertainment,STAYC,RUN2U
2022,High Up Entertainment,STAYC,SAME SAME
2022,High Up Entertainment,STAYC,247
2022,High Up Entertainment,STAYC,YOUNG LUV
2022,High Up Entertainment,STAYC,BUTTERFLY
2022,High Up Entertainment,STAYC,I WANT U BABY
2022,High Up Entertainment,STAYC,BEAUTIFUL MONSTER
2022,High Up Entertainment,STAYC,I LIKE IT
2022,High Up Entertainment,STAYC,LOVE
2022,High Up Entertainment,STAYC,RUN2U (TAK Remix)
2023,High Up Entertainment,STAYC,Teddy Bear
2023,High Up Entertainment,STAYC,Poppy (Korean Ver.)
2023,High Up Entertainment,STAYC,BUBBLE
2023,High Up Entertainment,STAYC,NOT LIKE YOU
2023,High Up Entertainment,STAYC,I WANNA DO
2023,High Up Entertainment,STAYC,BE MINE
2023,High Up Entertainment,STAYC,BUBBLE (English Ver.)
2023,High Up Entertainment,STAYC,BUBBLE (Sped Up) (English Ver.)
2022,High Up Entertainment,STAYC,STAR (Our Blues OST Part.8)
