title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year
그것뿐이에요,258000.0,SUPER JUNIOR-K.R.Y.,06 WINTER SMTOWN,,,XW,2006-12-12,,SUPER JUNIOR-K.R.Y.,2006
기대 (Home),234173.0,SUPER JUNIOR-K.R.Y.,When We Were Us,,,KR,2020-06-08,,SUPER JUNIOR-K.R.Y.,2020
꿈꾸는 히어로,241000.0,SUPER JUNIOR-K.R.Y.,파트너 OST,,,KR,2009-07-01,,SUPER JUNIOR-K.R.Y.,2009
너에게로 (The Way Back to You),210001.0,SUPER JUNIOR-K.R.Y.,When We Were Us,,,KR,2020-06-08,,SUPER JUNIOR-K.R.Y.,2020
별의 동화 (Midnight Story),186734.0,SUPER JUNIOR-K.R.Y.,When We Were Us,,,KR,2020-06-08,,SUPER JUNIOR-K.R.Y.,2020
부산에 가면 (Way to Busan),243577.0,SUPER JUNIOR-K.R.Y.,When We Were Us,,,KR,2020-06-08,,SUPER JUNIOR-K.R.Y.,2020
푸르게 빛나던 우리의 계절 (When We Were Us),247571.0,SUPER JUNIOR-K.R.Y.,When We Were Us,,,KR,2020-06-08,,SUPER JUNIOR-K.R.Y.,2020
할 수 없는 일 (I Can't),233708.0,SUPER JUNIOR-K.R.Y.,When We Were Us,,,KR,2020-06-08,,SUPER JUNIOR-K.R.Y.,2020
회상,261000.0,SUPER JUNIOR-K.R.Y.,윤일상 작곡가 21주년 기념 앨범 I'm 21 Part.2,,,KR,2012-01-18,,SUPER JUNIOR-K.R.Y.,2012
As It Was,159000.0,승관,As It Was,,,XW,2022-09-30,,승관,2022
Pit a Pat,212000.0,승관,"링크: 먹고 사랑하라, 죽이게 OST Special",,,KR,2022-07-26,,승관,2022
8번 연습실,275000.0,이무진,Room Vol.1,,,KR,2022-06-03,,이무진,2022
I Miss You,222000.0,이무진,[Vol.126] 유희열의 스케치북 With you : 여든 두번째 목소리 '유스케 X 이무진',,,KR,2022-02-26,,이무진,2022
Slainte!,218000.0,이무진,PLAYLIST SEASON2 (플레이리스트 시즌2) OST,,,KR,2022-12-06,,이무진,2022
가을 타나 봐,218000.0,이무진,가을 타나 봐 (REVIBE Vol.4),,,KR,2021-09-14,,이무진,2021
개똥벌레,197000.0,이무진,개똥벌레,,,KR,2022-11-06,,이무진,2022
과제곡 (교수님 죄송합니다),229000.0,이무진,과제곡,,,KR,2021-07-17,,이무진,2021
굴뚝마을의 푸펠,347000.0,이무진,굴뚝마을의 푸펠 OST,,,KR,2021-06-04,,이무진,2021
너의 뒤에서,240000.0,이무진,뮤직인더트립 OST Part.1,,,KR,2023-11-04,,이무진,2023
눈이 오잖아,232000.0,"이무진, Heize",눈이 오잖아,,,KR,2021-12-03,,이무진,2021
담아 갈게,277000.0,이무진,담아 갈게,,,KR,2021-08-26,,이무진,2021
세 사람,290000.0,이무진,[Vol.127] 유희열의 스케치북 With you : 여든 두번째 목소리 '유스케 X 이무진',,,KR,2022-03-05,,이무진,2022
쉼표,220000.0,이무진,무인도의 디바 Original Sound Track,,,KR,2023-12-05,,이무진,2023
스윗해,216000.0,이무진,사내맞선 OST,,,KR,2022-04-06,,이무진,2022
신호등,231586.0,이무진,Traffic Light,,,AF,2021-05-14,,이무진,2021
에피소드,205000.0,이무진,에피소드,,,KR,2023-12-23,,이무진,2023
여름인사 (Demo),240000.0,이무진,뮤직인더트립 OST Part.2,,,KR,2023-11-11,,이무진,2023
욕심쟁아,230000.0,이무진,Room Vol.1,,,KR,2022-06-03,,이무진,2022
우주비행사,129000.0,이무진,Room Vol.1,,,KR,2022-06-03,,이무진,2022
자취방,217000.0,이무진,Room Vol.1,,,KR,2022-06-03,,이무진,2022
잠깐 시간 될까,228000.0,이무진,잠깐 시간 될까,,,KR,2023-05-09,,이무진,2023
참고사항,221000.0,이무진,Room Vol.1,,,KR,2022-06-03,,이무진,2022
청춘이 버겁다,208000.0,"이무진, 화곡동",청춘이 버겁다,,,KR,2023-11-26,,이무진,2023
청혼하지 않을 이유를 못 찾았어,262000.0,이무진,청혼하지 않을 이유를 못 찾았어,,,KR,2024-04-02,,이무진,2024
측정거부,165000.0,이무진,측정거부,,,KR,2023-09-08,,이무진,2023
Amore,223693.0,UNIQ,Club Latino 99,,,CA,1999,,UNIQ,1999
Best Friend,179000.0,UNIQ,Best Friend,,,,2015-10-16,,UNIQ,2015
Born to Fight,181000.0,UNIQ,Born To Fight,,,XW,2014-10-23,,UNIQ,2014
EOEO,,UNIQ,EOEO,,,KR,2015-04-24,,UNIQ,2015
Falling In Love,214000.0,UNIQ,Falling In Love,,,KR,2014-10-20,,UNIQ,2014
Listen To Me,,UNIQ,EOEO,,,KR,2015-04-24,,UNIQ,2015
Luv Again,,UNIQ,EOEO,,,KR,2015-04-24,,UNIQ,2015
Someday,216000.0,UNIQ,Mr Music Hits 9. 1998,,,SE,1998,,UNIQ,1998
Take No Notice,46280.0,UNIQ,"Short, Fast+ Loud!, Volume I",,,US,2001,,UNIQ,2001
Flower,219613.0,SEOLA,Flower,,,XW,2023-05-23,,SEOLA,2023
Let's Talk (Loneliness),164000.0,SEOLA,INSIDE OUT,,,,2024-01-23,,SEOLA,2024
NO GIRL,154000.0,SEOLA,INSIDE OUT,,,,2024-01-23,,SEOLA,2024
Teddy Bear,196160.0,SEOLA,Teddy Bear,,,XW,2023-07-16,,SEOLA,2023
Without U,192000.0,SEOLA,INSIDE OUT,,,,2024-01-23,,SEOLA,2024
부디,288000.0,SEOLA,부디,,,XW,2021-11-12,,SEOLA,2021
연인,175000.0,SEOLA,아무것도 하고 싶지 않아 OST,,,KR,2023-01-02,,SEOLA,2023
예뻤어,188000.0,SEOLA,예뻤어,,,XW,2022-04-19,,SEOLA,2022
Attention,201000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er,2022
Back to the City,200000.0,Kep1er,LOVESTRUCK!,,,KR,2023-04-10,,Kep1er,2023
Celebrate,201000.0,Kep1er,Kep1going,,,JP,2024-05-08,,Kep1er,2024
Cruise,199000.0,Kep1er,Kep1going,,,JP,2024-05-08,,Kep1er,2024
Curious,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er,2024
Daisy,176747.0,Kep1er,<FLY‐UP>,,,JP,2022-09-07,,Kep1er,2022
Dear Diary,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er,2024
Don't Lose Your Smile,207000.0,Kep1er,Kep1going,,,JP,2024-05-08,,Kep1er,2024
Double Up!,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er,2024
Downtown,158000.0,Kep1er,TROUBLESHOOTER,,,KR,2022-10-13,,Kep1er,2022
Dreams,202000.0,Kep1er,TROUBLESHOOTER,,,KR,2022-10-13,,Kep1er,2022
"Flowers, Flutter, Your heart",,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er,2024
Galileo,188253.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er,2023
Giddy,195000.0,Kep1er,Giddy,,,,2023-04-10,,Kep1er,2023
Good Night,188000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er,2022
Grand Prix,187000.0,Kep1er,Grand Prix,,,,2023-11-08,,Kep1er,2023
Happy Ending,178173.0,Kep1er,LOVESTRUCK!,,,KR,2023-04-10,,Kep1er,2023
Highlight,213000.0,Kep1er,Kep1going,,,JP,2024-05-08,,Kep1er,2024
I do! Do you?,214827.0,Kep1er,I do! Do you?,,,,2023-02-22,,Kep1er,2023
La Vie en Rose,361000.0,Kep1er,La Vie en Rose,,,XW,2022-09-15,,Kep1er,2022
Last Carnival,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er,2024
LE VOYA9E,216000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er,2022
Lion Tamer,182000.0,Kep1er,TROUBLESHOOTER,,,KR,2022-10-13,,Kep1er,2022
Love on Lock,171373.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er,2023
LVLY,199813.0,Kep1er,LOVESTRUCK!,,,KR,2023-04-10,,Kep1er,2023
MVSK,190000.0,Kep1er,FIRST IMPACT,,,KR,2022-01-03,,Kep1er,2022
Pool Party (Rollin' right now),241000.0,Kep1er,<Queendom2> Part.2-2,,,XW,2022-04-22,,Kep1er,2022
PROBLEM,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er,2024
PUSH BUTTON,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er,2024
RESCUE TAYO,149000.0,Kep1er,RESCUE TAYO,,,,2023-07-06,,Kep1er,2023
Rewind,229000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er,2022
See the Light,111000.0,Kep1er,FIRST IMPACT,,,KR,2022-01-03,,Kep1er,2022
Shooting Star,,Kep1er,Kep1going On,,,,2024-06-03,,Kep1er,2024
Shut Down,185000.0,Kep1er,Shut Down,,,XW,2023-04-06,,Kep1er,2023
Snake,,Kep1er,<FLY‐HIGH>,,,JP,2023-11-22,,Kep1er,2023
Straight Line,165000.0,Kep1er,Straight Line,,,,2024-04-24,,Kep1er,2024
Sugar,154000.0,Kep1er,<FLY‐HIGH>,,,JP,2023-11-22,,Kep1er,2023
TAPE,171186.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er,2023
The Door,181720.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er,2023
THE GIRLS (Can't turn me down),238133.0,Kep1er,<Queendom2> FINAL,,,XW,2022-05-27,,Kep1er,2022
tOgether fOrever,211533.0,Kep1er,<FLY‐BY>,,,,2023-03-15,,Kep1er,2023
Tropical Light,182933.0,Kep1er,Magic Hour,,,KR,2023-09-25,,Kep1er,2023
U+Me=LOVE,,Kep1er,<FLY‐HIGH>,,,JP,2023-11-22,,Kep1er,2023
Up!,192000.0,Kep1er,DOUBLAST,,,KR,2022-06-20,,Kep1er,2022
WA DA DA,183000.0,Kep1er,FIRST IMPACT,,,KR,2022-01-03,,Kep1er,2022
We Fresh,226000.0,Kep1er,We Fresh,,,,2022-10-13,,Kep1er,2022
Why,181080.0,Kep1er,LOVESTRUCK!,,,KR,2023-04-10,,Kep1er,2023
Wing Wing,195000.0,Kep1er,Wing Wing,,,,2022-08-03,,Kep1er,2022
Black Mirror,175000.0,KAI,Rover,,,KR,2023-03-13,,KAI,2023
Blue,181000.0,KAI,Peaches,,,KR,2021-11-30,,KAI,2021
Bomba,188000.0,KAI,Rover,,,KR,2023-03-13,,KAI,2023
Come In,182000.0,KAI,Peaches,,,KR,2021-11-30,,KAI,2021
Domino,175000.0,KAI,Peaches,,,KR,2021-11-30,,KAI,2021
Hello Stranger,168000.0,KAI,KAI,,,KR,2020-11-30,,KAI,2020
Hot & Cold (온도차),207000.0,"KAI, SEULGI, JENO, 카리나",2022 Winter SMTOWN : SMCU PALACE,,,KR,2022-12-26,,KAI,2022
Nothing on Me,160000.0,KAI,KAI,,,KR,2020-11-30,,KAI,2020
Peaches,198000.0,KAI,Peaches,,,KR,2021-11-30,,KAI,2021
Reason,173000.0,KAI,KAI,,,KR,2020-11-30,,KAI,2020
Ride or Die,200000.0,KAI,KAI,,,KR,2020-11-30,,KAI,2020
Rover,175000.0,KAI,Rover,,,KR,2023-03-13,,KAI,2023
Say You Love Me,202000.0,KAI,Rover,,,KR,2023-03-13,,KAI,2023
Sinner,187000.0,KAI,Rover,,,KR,2023-03-13,,KAI,2023
Slidin',164000.0,KAI,Rover,,,KR,2023-03-13,,KAI,2023
To Be Honest,174000.0,KAI,Peaches,,,KR,2021-11-30,,KAI,2021
Vanilla,208000.0,KAI,Peaches,,,KR,2021-11-30,,KAI,2021
기억상실 (Amnesia),178000.0,KAI,KAI,,,KR,2020-11-30,,KAI,2020
음 (Mmmh),192000.0,KAI,KAI,,,KR,2020-11-30,,KAI,2020
7전8기,207000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
A+,,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
Bye...,249000.0,SECHSKIES,Blue Note,,,KR,2000-05-31,,SECHSKIES,2000
Celebrate Tonight,,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,,SECHSKIES,1998
Chance,238000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
Com' Back,,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
Come Back,233000.0,SECHSKIES,소유진의 Fandangoi,,,KR,2001-06-29,,SECHSKIES,2001
Come To Me Baby,223000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
Crying Game,219000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
Dream Comes True,225000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,,SECHSKIES,1997
Fake G'S (절대자),260000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
Flying Love,236000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
For You,77000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
Gate 1,79000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
Gate 2,182000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
Gate 3,40000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
Gate 4,41000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
Goodbye Party,,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,,SECHSKIES,1998
Last,266000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
Love,261000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
Missing You,,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
Outro,94000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
Pain,237000.0,SECHSKIES,Blue Note,,,KR,2000-05-31,,SECHSKIES,2000
Paty Time,224000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
Rigoletto(여자의 마음),,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
Road Fighter,200000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
Run Away,235000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
SAY,261000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
Smile Again,,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
THREE WORDS,243000.0,SECHSKIES,THREE WORDS,,,XW,2016-10-07,,SECHSKIES,2016
Walking in the Rain,297000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,,SECHSKIES,1997
거절의 이유,215000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
겨울편지,211000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
그 날까지,227000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
그날까지,,SECHSKIES,THE 20TH ANNIVERSARY,,,KR,2017-04-28,,SECHSKIES,2017
그녀가 남기고 간 선물,,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
그대가 잠든 사이에(While You Were Sleeping),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,,SECHSKIES,1998
그대로 멈춰,,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
기도(Prayer),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,,SECHSKIES,1998
기사도,223000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
기억해 줄래,244000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,,SECHSKIES,1997
내맘을 알고있니(Do You Know My Heart),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,,SECHSKIES,1998
너를 보내며,234000.0,SECHSKIES,Blue Note,,,KR,2000-05-31,,SECHSKIES,2000
네가 필요해 (NEED U),223906.0,SECHSKIES,ANOTHER LIGHT,,,KR,2017-09-22,,SECHSKIES,2017
네겐 보일 수 없었던 세상,272000.0,SECHSKIES,Blue Note,,,KR,2000-05-31,,SECHSKIES,2000
네겐 보일수 없었던 세상(The World Where I Couldn't Show You),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,,SECHSKIES,1998
느낌이 와 (FEELING),214253.0,SECHSKIES,ANOTHER LIGHT,,,KR,2017-09-22,,SECHSKIES,2017
다같이 해요,212000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,,SECHSKIES,1997
다신 (NEVER AGAIN),194333.0,SECHSKIES,ANOTHER LIGHT,,,KR,2017-09-22,,SECHSKIES,2017
단념(Letting Go),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,,SECHSKIES,1998
돌연변이,211000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
동급생,184000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
말괄량이 길들이기,201000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
뫼비우스의 띠(Original),,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
무모한 사랑,226000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
미성년자 관람불가,227000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
미인추방,230000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
배신감,223000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,,SECHSKIES,1997
백허그 (BACKHUG),201800.0,SECHSKIES,ANOTHER LIGHT,,,KR,2017-09-22,,SECHSKIES,2017
변신 (Renewal),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,,SECHSKIES,1998
비(悲),,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
비상(Fly Up),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,,SECHSKIES,1998
사나이 가는 길 (부제:폼생폼사),240000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,,SECHSKIES,1997
사랑 신고식,212000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,,SECHSKIES,1997
사랑하는 너에게,235000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
세 단어,243000.0,SECHSKIES,세 단어,,,KR,2016-10-07,,SECHSKIES,2016
술끊자 (DRINKING PROBLEM),201120.0,SECHSKIES,ANOTHER LIGHT,,,KR,2017-09-22,,SECHSKIES,2017
슬픈 노래,,SECHSKIES,THE 20TH ANNIVERSARY,,,KR,2017-04-28,,SECHSKIES,2017
아프지마요,,SECHSKIES,THE 20TH ANNIVERSARY,,,KR,2017-04-28,,SECHSKIES,2017
약속,267000.0,SECHSKIES,Blue Note,,,KR,2000-05-31,,SECHSKIES,2000
여우사냥,191000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
연정,195000.0,SECHSKIES,2016 Re-ALBUM,,,KR,2016-12-01,,SECHSKIES,2016
예감,,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
오랜만이에요 (IT'S BEEN A WHILE),232453.0,SECHSKIES,ANOTHER LIGHT,,,KR,2017-09-22,,SECHSKIES,2017
웃어줘 (SMILE),230373.0,SECHSKIES,ANOTHER LIGHT,,,KR,2017-09-22,,SECHSKIES,2017
적(敵),,SECHSKIES,Com’ Back,,,KR,1999-09-07,,SECHSKIES,1999
젝키의 크리스마스,233000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
커플,250000.0,SECHSKIES,소유진의 Fandangoi,,,KR,2001-06-29,,SECHSKIES,2001
탈출,221000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
테크노폴리스,216000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,,SECHSKIES,1998
특별해 (SOMETHING SPECIAL),201440.0,SECHSKIES,ANOTHER LIGHT,,,KR,2017-09-22,,SECHSKIES,2017
하얀밤에,253000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,,SECHSKIES,1997
학원별곡,210000.0,SECHSKIES,2016 Re-ALBUM,,,KR,2016-12-01,,SECHSKIES,2016
현기증 (VERTIGO),215973.0,SECHSKIES,ANOTHER LIGHT,,,KR,2017-09-22,,SECHSKIES,2017
확인,238000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,,SECHSKIES,1997
Always,129000.0,ZEROBASEONE,YOUTH IN THE SHADE,,,KR,2023-07-10,,ZEROBASEONE,2023
And I,195000.0,ZEROBASEONE,YOUTH IN THE SHADE,,,KR,2023-07-10,,ZEROBASEONE,2023
Back to ZEROBASE,165000.0,ZEROBASEONE,YOUTH IN THE SHADE,,,KR,2023-07-10,,ZEROBASEONE,2023
CRUSH,169000.0,ZEROBASEONE,ゆらゆら -運命の花-,,,,2024-03-20,,ZEROBASEONE,2024
Dear ECLIPSE,169000.0,ZEROBASEONE,You had me at HELLO,,,,2024-05-13,,ZEROBASEONE,2024
Feel the POP,176000.0,ZEROBASEONE,You had me at HELLO,,,,2024-05-13,,ZEROBASEONE,2024
Good Night,179000.0,ZEROBASEONE,MELTING POINT,,,KR,2023-11-06,,ZEROBASEONE,2023
HELLO,213000.0,ZEROBASEONE,You had me at HELLO,,,,2024-05-13,,ZEROBASEONE,2024
In Bloom,180000.0,ZEROBASEONE,YOUTH IN THE SHADE,,,KR,2023-07-10,,ZEROBASEONE,2023
Kidz Zone,149000.0,ZEROBASEONE,MELTING POINT,,,KR,2023-11-06,,ZEROBASEONE,2023
MELTING POINT,173000.0,ZEROBASEONE,MELTING POINT,,,KR,2023-11-06,,ZEROBASEONE,2023
New Kidz on the Block,212000.0,ZEROBASEONE,YOUTH IN THE SHADE,,,KR,2023-07-10,,ZEROBASEONE,2023
Our Season,177000.0,ZEROBASEONE,YOUTH IN THE SHADE,,,KR,2023-07-10,,ZEROBASEONE,2023
Solar POWER,171000.0,ZEROBASEONE,You had me at HELLO,,,,2024-05-13,,ZEROBASEONE,2024
Sunday RIDE,179000.0,ZEROBASEONE,You had me at HELLO,,,,2024-05-13,,ZEROBASEONE,2024
SWEAT,191018.0,ZEROBASEONE,SWEAT,,,,2024-04-24,,ZEROBASEONE,2024
Take My Hand,215000.0,ZEROBASEONE,MELTING POINT,,,KR,2023-11-06,,ZEROBASEONE,2023
ゆらゆら -運命の花-,185000.0,ZEROBASEONE,YURA YURA,,,XW,2024-03-08,,ZEROBASEONE,2024
#GirlsSpkOut,211504.0,"TAEYEON, ちゃんみな",#GirlsSpkOut,,,AF,2020-10-01,,TAEYEON,2020
11:11,223000.0,TAEYEON,11:11,,,KR,2016-11-01,,TAEYEON,2016
All for Nothing,191000.0,TAEYEON,To. X,,,KR,2023-11-27,,TAEYEON,2023
All With You,233939.0,TAEYEON,Moonlovers: Scarlet Heart Ryeo (Original Television Soundtrack),,,AF,2015-10-25,,TAEYEON,2015
Be Real,220000.0,TAEYEON,#GirlsSpkOut,,,AF,2020-10-30,,TAEYEON,2020
Better Babe,251000.0,TAEYEON,Purpose,,,KR,2019-10-28,,TAEYEON,2019
Blue,212000.0,TAEYEON,Four Seasons,,,US,2019-03-24,,TAEYEON,2019
Burn It Down,171000.0,TAEYEON,To. X,,,KR,2023-11-27,,TAEYEON,2023
BYE,272000.0,TAEYEON,Mr. Go (Original Motion Picture Soundtrack),,,XW,2013-07-09,,TAEYEON,2013
Can't Control Myself,182000.0,TAEYEON,Can’t Control Myself,,,XW,2022-01-17,,TAEYEON,2022
Candy Cane,205000.0,TAEYEON,this Christmas - winter is coming,,,KR,2017-12-12,,TAEYEON,2017
Christmas Without You,259000.0,TAEYEON,this Christmas - winter is coming,,,KR,2017-12-12,,TAEYEON,2017
Circus,234000.0,TAEYEON,Something New,,,KR,2018-06-18,,TAEYEON,2018
City Love,218000.0,TAEYEON,Purpose,,,KR,2019-10-28,,TAEYEON,2019
Cold as Hell,164000.0,TAEYEON,INVU,,,KR,2022-02-14,,TAEYEON,2022
Colorful,138000.0,TAEYEON,JTBC 다름다움 캠페인,,,KR,2014-04-21,,TAEYEON,2014
Cover Up,206000.0,TAEYEON,My Voice,,,KR,2017-02-28,,TAEYEON,2017
Curtain Call,232000.0,TAEYEON,My Voice (deluxe edition),,,KR,2017-04-05,,TAEYEON,2017
Do You Love Me?,248000.0,TAEYEON,Purpose,,,KR,2019-10-28,,TAEYEON,2019
Ending Credits,225000.0,TAEYEON,INVU,,,KR,2022-02-14,,TAEYEON,2022
Eraser,174000.0,TAEYEON,My Voice,,,KR,2017-02-28,,TAEYEON,2017
Fabulous,172000.0,TAEYEON,To. X,,,KR,2023-11-27,,TAEYEON,2023
Fashion,192000.0,TAEYEON,Why,,,KR,2016-06-28,,TAEYEON,2016
Find Me,247000.0,TAEYEON,Purpose,,,KR,2019-10-28,,TAEYEON,2019
Fine,209000.0,TAEYEON,My Voice,,,KR,2017-02-28,,TAEYEON,2017
Fire,187000.0,TAEYEON,My Voice,,,KR,2017-02-28,,TAEYEON,2017
Galaxy,226000.0,TAEYEON,What Do I Call You,,,KR,2020-12-15,,TAEYEON,2020
Good Thing,177000.0,TAEYEON,Why,,,KR,2016-06-28,,TAEYEON,2016
Gravity,239000.0,TAEYEON,Purpose,,,KR,2019-10-28,,TAEYEON,2019
Hands on Me,228000.0,TAEYEON,Why,,,KR,2016-06-28,,TAEYEON,2016
Happy,221000.0,TAEYEON,Happy,,,DZ,2020-05-04,,TAEYEON,2020
Here I Am,204000.0,TAEYEON,Purpose,,,KR,2019-10-28,,TAEYEON,2019
HORIZON,231000.0,TAEYEON,VOICE,,,KR,2019-05-13,,TAEYEON,2019
HUSH HUSH; HUSH HUSH,214653.0,TAEYEON,Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,TAEYEON,2010
I,206000.0,"TAEYEON, Verbal Jint",I,,,KR,2015-10-07,,TAEYEON,2015
Lady Marmalade,263000.0,"TAEYEON, Tiffany Young",2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,TAEYEON,2013
Make Me Love You,213000.0,TAEYEON,My Voice (deluxe edition),,,KR,2017-04-05,,TAEYEON,2017
Melt Away,196000.0,TAEYEON,To. X,,,KR,2023-11-27,,TAEYEON,2023
Page 0,187000.0,"TAEYEON, MeloMance",Page 0,,,KR,2018-08-10,,TAEYEON,2018
Rescue Me,262000.0,TAEYEON,ファイナルライフ -明日、君が消えても- (Original Soundtrack),,,JP,2017-11-02,,TAEYEON,2017
Secret,235000.0,TAEYEON,VOICE,,,JP,2019-05-13,,TAEYEON,2019
Sorrow,205000.0,TAEYEON,#GirlsSpkOut,,,AF,2020-10-30,,TAEYEON,2020
Spark,217000.0,TAEYEON,Purpose,,,US,2019-10-28,,TAEYEON,2019
Stay,252977.0,TAEYEON,Stay,,,JP,2018-06-30,,TAEYEON,2018
Sweet Love,184000.0,TAEYEON,My Voice,,,KR,2017-02-28,,TAEYEON,2017
To the moon,162000.0,TAEYEON,What Do I Call You,,,KR,2020-12-15,,TAEYEON,2020
To. X,179000.0,TAEYEON,To. X,,,,2023-11-27,,TAEYEON,2023
TURNT AND BURNT,181000.0,TAEYEON,VOICE,,,KR,2019-05-13,,TAEYEON,2019
