query_artist_name,song_title,album_name,release_year,spotify_artist_name
4minute,I My Me Mine (Japanese Ver.),I My Me Mine - Standard,2010,4Minute
4minute,Good Bye,I My Me Mine - Standard,2010,4Minute
4minute,Huh,I My Me Mine - Standard,2010,4Minute
4minute,I My Me Mine (Inst.),I My Me Mine - Standard,2010,4Minute
4minute,Muzik (Japanese Ver.),Muzik,2010,4Minute
4minute,Personal Taste (Original Television Soundtrack) Pt. 3 - Making Love,Personal Taste (Original Television Soundtrack) Pt. 3 - Making Love,2010,4Minute
4minute,Muzik (Japanese Ver.),Diamond,2010,4Minute
4minute,Bababa,Diamond,2010,4Minute
4minute,Hide & Seek,Diamond,2010,4Minute
4minute,Who`s Next? (Feat. Beast),Diamond,2010,4Minute
4minute,Huh,Diamond,2010,4Minute
4minute,Can`t Make Up My Mind,Diamond,2010,4Minute
4minute,First,Diamond,2010,4Minute
4minute,I My Me Mine (Japanese Ver.),Diamond,2010,4Minute
4minute,Already Gone,Diamond,2010,4Minute
4minute,December,Diamond,2010,4Minute
4minute,home run,Earth's representative Rolling Stars OST,2010,4Minute
4minute,First,First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,Dreams Come True (Japanese Version),First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,Highlight,First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,First (Inst.),First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,Dreams Come True (Inst.),First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,I My Me Mine (Japanese Ver.),I My Me Mine - Standard,2010,4Minute
4minute,Good Bye,I My Me Mine - Standard,2010,4Minute
4minute,Huh,I My Me Mine - Standard,2010,4Minute
4minute,I My Me Mine (Inst.),I My Me Mine - Standard,2010,4Minute
4minute,Muzik (Japanese Ver.),Muzik,2010,4Minute
4minute,Personal Taste (Original Television Soundtrack) Pt. 3 - Making Love,Personal Taste (Original Television Soundtrack) Pt. 3 - Making Love,2010,4Minute
4minute,Muzik (Japanese Ver.),Diamond,2010,4Minute
4minute,Bababa,Diamond,2010,4Minute
4minute,Hide & Seek,Diamond,2010,4Minute
4minute,Who`s Next? (Feat. Beast),Diamond,2010,4Minute
4minute,Huh,Diamond,2010,4Minute
4minute,Can`t Make Up My Mind,Diamond,2010,4Minute
4minute,First,Diamond,2010,4Minute
4minute,I My Me Mine (Japanese Ver.),Diamond,2010,4Minute
4minute,Already Gone,Diamond,2010,4Minute
4minute,December,Diamond,2010,4Minute
4minute,home run,Earth's representative Rolling Stars OST,2010,4Minute
4minute,First,First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,Dreams Come True (Japanese Version),First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,Highlight,First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,First (Inst.),First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,Dreams Come True (Inst.),First / Dreams Come True (Standard Ver.),2010,4Minute
4minute,I My Me Mine (Japanese Ver.),I My Me Mine - Standard,2010,4Minute
4minute,Good Bye,I My Me Mine - Standard,2010,4Minute
4minute,Huh,I My Me Mine - Standard,2010,4Minute
4minute,I My Me Mine (Inst.),I My Me Mine - Standard,2010,4Minute
4minute,Muzik (Japanese Ver.),Muzik,2010,4Minute
4minute,Personal Taste (Original Television Soundtrack) Pt. 3 - Making Love,Personal Taste (Original Television Soundtrack) Pt. 3 - Making Love,2010,4Minute
4minute,4minutes Left,4minutes Left,2011,4Minute
4minute,Mirror Mirror,4minutes Left,2011,4Minute
4minute,Heart To Heart,4minutes Left,2011,4Minute
4minute,Sweet Suga Honey!,4minutes Left,2011,4Minute
4minute,Pretending Not To Know,4minutes Left,2011,4Minute
4minute,You Know,4minutes Left,2011,4Minute
4minute,Already Gone,4minutes Left,2011,4Minute
4minute,First,4minutes Left,2011,4Minute
4minute,Hide and Seek,4minutes Left,2011,4Minute
4minute,Badly,4minutes Left,2011,4Minute
4minute,Ready Go,Ready Go (Standard),2011,4Minute
4minute,Sweet Sugar Honey! (Japanese Ver.),Ready Go (Standard),2011,4Minute
4minute,Ready Go (Karaoke Ver.),Ready Go (Standard),2011,4Minute
4minute,Heart To Heart (Japanese Version),Heart To Heart (Japanese Version),2011,4Minute
4minute,Heart To Heart (Instrumental),Heart To Heart (Japanese Version),2011,4Minute
4minute,Freestyle,Freestyle,2011,4Minute
4minute,4minutes Left,Heart To Heart,2011,4Minute
4minute,Heart To Heart,Heart To Heart,2011,4Minute
4minute,Sweet Suga Honey!,Heart To Heart,2011,4Minute
4minute,You Know,Heart To Heart,2011,4Minute
4minute,Pretending Not To Know,Heart To Heart,2011,4Minute
4minute,WHY,WHY,2011,4Minute
4minute,WHY (Instrumental),WHY,2011,4Minute
4minute,4minutes Left,4minutes Left,2011,4Minute
4minute,Mirror Mirror,4minutes Left,2011,4Minute
4minute,Heart To Heart,4minutes Left,2011,4Minute
4minute,Sweet Suga Honey!,4minutes Left,2011,4Minute
4minute,Pretending Not To Know,4minutes Left,2011,4Minute
4minute,You Know,4minutes Left,2011,4Minute
4minute,Already Gone,4minutes Left,2011,4Minute
4minute,First,4minutes Left,2011,4Minute
4minute,Hide and Seek,4minutes Left,2011,4Minute
4minute,Badly,4minutes Left,2011,4Minute
4minute,Ready Go,Ready Go (Standard),2011,4Minute
4minute,Sweet Sugar Honey! (Japanese Ver.),Ready Go (Standard),2011,4Minute
