title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
1977 기억 안나,156000.0,T‐ARA,Again 1977,,,KR,2013-12-04,,T‐ARA
20090729,235000.0,T‐ARA,What's my name?,,,KR,2017-06-14,,T‐ARA
ALL KILL,184000.0,T‐ARA,Re:T‐ARA,,,AF,2021-11-15,,T‐ARA
Apple is A,190000.0,T‐ARA,Absolute First Album,,,KR,2009-12-04,,T‐ARA
Beautiful Girl,194227.0,"T‐ARA, Electroboyz",Beautiful Girl,,,KR,2011-02-10,,T‐ARA
Beautiful Sniper,217000.0,T‐ARA,TREASURE BOX,,,JP,2013-08-07,,T‐ARA
Bo Peep Bo Peep,225000.0,T‐ARA,Absolute First Album,,,KR,2009-12-04,,T‐ARA
Bye Bye,215000.0,T‐ARA,Absolute First Album,,,KR,2009-12-04,,T‐ARA
Cry Cry,198000.0,T‐ARA,Black Eyes,,,KR,2011-11-01,,T‐ARA
Dangerous Love (Eunjung & Hyomin & Jiyeon),221000.0,T‐ARA,TREASURE BOX,,,JP,2013-08-07,,T‐ARA
DAY BY DAY,208000.0,T‐ARA,DAY BY DAY,,,KR,2012-07-03,,T‐ARA
Deja-Vu,215000.0,T‐ARA,TREASURE BOX,,,JP,2013-08-07,,T‐ARA
Falling U,210000.0,T‐ARA,Absolute First Album,,,KR,2009-12-04,,T‐ARA
FIRST LOVE,211000.0,"T‐ARA, EB",First Love,,,XW,2014-02-21,,T‐ARA
For you,211000.0,T‐ARA,So Good,,,KR,2015-08-04,,T‐ARA
"Goodbye, OK",185000.0,T‐ARA,Black Eyes,,,KR,2011-11-01,,T‐ARA
HOLIDAY,196000.0,T‐ARA,DAY BY DAY,,,KR,2012-07-03,,T‐ARA
HUE,206000.0,T‐ARA,DAY BY DAY,,,KR,2012-07-03,,T‐ARA
I'm So Bad,192000.0,T‐ARA,Black Eyes,,,KR,2011-11-01,,T‐ARA
Just Now,212000.0,T‐ARA,Gossip Girls,,,JP,2014-04-14,,T‐ARA
Keep On Walking,244000.0,T‐ARA,Gossip Girls,,,JP,2014-04-14,,T‐ARA
Keep Out,199000.0,T‐ARA,Jewelry box,,,JP,2012-06-06,,T‐ARA
Knockin'on my heart,232000.0,T‐ARA,Gossip Girls,,,JP,2014-04-14,,T‐ARA
LA'booN,250000.0,T‐ARA,Lead the way / LA'booN,,,JP,2014-03-05,,T‐ARA
Lead the way,241613.0,T‐ARA,Lead the way / LA'booN,,,JP,2014-03-05,,T‐ARA
Little Apple,324000.0,"T‐ARA, 筷子兄弟",Little Apple,,,XW,2014-11-23,,T‐ARA
Log-in,207000.0,T‐ARA,Log-in,,,XW,2011-09-15,,T‐ARA
LOVE ME! ～あなたのせいで狂いそう,196000.0,T‐ARA,Bo Peep Bo Peep,,,JP,2011-09-28,,T‐ARA
Lovey-Dovey,217013.0,T‐ARA,Funky Town,,,KR,2012-01-03,,T‐ARA
Lucky Wannabeee!,212000.0,T‐ARA,Gossip Girls,,,JP,2014-04-14,,T‐ARA
Lullaby,199000.0,T‐ARA,What's my name?,,,KR,2017-06-14,,T‐ARA
Ma boo,204000.0,T‐ARA,Temptastic,,,KR,2010-12-03,,T‐ARA
MUSICA MUSICA,232000.0,T‐ARA,Gossip Girls,,,JP,2014-04-14,,T‐ARA
My Love,210000.0,T‐ARA,최고의 한방 OST,,,KR,2017-08-24,,T‐ARA
O My God,246000.0,T‐ARA,Black Eyes,,,KR,2011-11-01,,T‐ARA
One & One,156000.0,T‐ARA,Absolute First Album,,,KR,2009-12-04,,T‐ARA
Ooh La La,179000.0,T‐ARA,What's my name?,,,KR,2017-06-14,,T‐ARA
ORGR,178000.0,T‐ARA,And & End,,,KR,2014-09-11,,T‐ARA
