release_id,title,status,release_date,country,artists,retrieved_label_name,query_label_name
929b6267-7461-451b-aaef-b8dab90e7a8c,우리 집에 왜 왔니?,Official,2014-09-18,XW,MINX,Happyface Entertainment,Happy Face Entertainment
9353d09d-9de0-4a59-9c1c-6d38ca837013,FRI. SAT. SUN,Official,2016-09-29,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
947383f3-cbdc-4283-837d-7729755c3eba,YOU AND I,Official,2018-05-10,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
95365e23-1a0c-4aea-b5e2-e07a68e01bfc,B.B.B,Official,2014-01-08,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
95abf59f-e4d2-41bb-9173-107892b7491b,PRESENT,Official,2018-06-14,KR,우진영 & 김현수,Happyface Entertainment,Happy Face Entertainment
987f5f8a-17fc-4615-8196-353d985405d8,B.B.B,Official,2014-01-08,XW,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
9bb0fae5-bf32-46ad-bafd-5d5943ba42d6,악몽·Fall asleep in the mirror,Official,2017-04-05,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
9cb3db55-9b89-4d80-b40b-fc944a3c08c3,Die-A Project Vol. 1,Official,2015-11-13,XW,다이아 프로젝트,Happyface Entertainment,Happy Face Entertainment
9db4e0de-487d-46a5-b619-d7ca1b8a476b,Prequel,Official,2017-07-27,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
a2f3608d-fb95-46e0-a8aa-55274be9b2cf,동그라미의 꿈,Official,2017-02-22,XW,달수빈,Happyface Entertainment,Happy Face Entertainment
a45bf758-72a2-40f4-804c-4a65e14486b1,Joker is Alive,Official,2015-04-15,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
b13a1444-f006-4bfc-bb08-54b90ddc10c9,Faded,Official,2018-02-04,XW,SIYEON,Happyface Entertainment,Happy Face Entertainment
b208be7b-a3f8-4541-b77a-d320d3277d5d,Alone in the City,Official,2018-09-20,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
b7d86679-726b-4ae7-a0b4-82d75f95c8f5,Naturalness,Official,2016-01-05,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
ba530678-e7db-4396-9f9b-a3ef07b48c07,Supa Dupa Diva,Official,2011-01-07,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
bbf7aeba-7460-464b-b0a0-1b3d3e1543f4,악몽 (惡夢),Official,2017-01-13,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
be2fd94c-6bf2-4362-8feb-3391c9aa3f8a,PRESENT,Official,2018-06-14,KR,우진영 & 김현수,Happyface Entertainment,Happy Face Entertainment
c0e547ae-80cc-42a8-b1e1-3bd259ce9aa4,201004,Official,2010-04-16,KR,"HyunA, 낯선",Happyface Entertainment,Happy Face Entertainment
c2338bd8-7aef-4124-b378-f443fa035204,GOOD NIGHT,Official,2017-04-05,,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
c2af0064-41ae-4459-86c0-9abb108e16ce,Nightmare - Escape the ERA,Official,2018-05-10,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
c62f615f-43c0-4501-89b2-d42aeafc745b,Prequel,Official,2017-07-27,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
c9d9a2c6-b30a-4d82-8587-95aba2e675c1,우리 집에 왜 왔니?,Official,2014-09-22,KR,MINX,Happyface Entertainment,Happy Face Entertainment
cd19d7de-aad5-4e13-8d2d-5e6c36093070,날아올라 (Fly High),Official,2017-07-27,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
cd37c7fd-1619-45fd-b94e-559ef00a5c0a,Lucky Strike,Official,2017-02-27,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
db4be45d-66ee-4145-a497-2a2ea40184a6,Be Ambitious,Official,2013-06-20,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
e13c0e31-69a5-455c-9999-3c947bcf7689,Sleep-Walking,Official,2017-09-01,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
e2653b10-a2c1-4c3f-8cf8-21579ffd337a,Supa Dupa Diva,Official,2011-01-07,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
e8d2572e-0af3-4c68-ac37-a6bc90852255,동그라미의 꿈,Official,2017-02-23,KR,달수빈,Happyface Entertainment,Happy Face Entertainment
e8da91be-ce56-4147-8b27-0f3a8bc92c3a,REALLY REALLY,Official,2017-05-08,XW,"SU A, SIYEON, YOOHYEON",Happyface Entertainment,Happy Face Entertainment
eb3dfdaf-0130-4220-a932-b69c1254d85d,B.B.B,Official,2014-01-08,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
f19565c0-cc0d-4de6-9aee-9f52cca934dd,Be Ambitious,Official,2013-06-20,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
f7c0ec0f-dc61-4905-bd75-1a6e72e96239,악몽 · Fall asleep in the mirror,Official,2017-04-05,KR,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
fa01f795-81c3-4eaa-9718-5c1b1c60b4f8,We All Lie,Official,2019-02-02,XW,SIYEON,Happyface Entertainment,Happy Face Entertainment
fb84b82b-852f-4973-9a56-bdd0d4f5c9ab,Full Moon,Official,2018-01-12,XW,DREAMCATCHER,Happyface Entertainment,Happy Face Entertainment
fc2ce976-ee0b-4e05-9e65-df3b877574ab,Bling Bling,Official,2011-08-11,KR,Dal★Shabet,Happyface Entertainment,Happy Face Entertainment
fe7d44a9-9e4c-40a9-8dbc-91a667738d1a,Why Did You Come To My Home?,Official,2014-09-22,KR,MINX,Happyface Entertainment,Happy Face Entertainment
