release_id,title,status,release_date,country,artists,retrieved_label_name,query_label_name
1837a716-7b9f-4499-98b9-dce9c6dd1e52,[REC.],Official,2022-01-18,KR,YUJU,KONNECT Entertainment,Konnect Entertainment
1ad595f6-0729-4e83-adcb-9924ec5efaad,The Story : RETOLD,Official,2022-11-24,KR,KANGDANIEL,KONNECT Entertainment,Konnect Entertainment
2087f07e-3066-4e89-811b-712723e6ea48,YELLOW,Official,2021-04-13,KR,KANGDANIEL,KONNECT Entertainment,Konnect Entertainment
2423fbfe-43bc-4c85-b088-438fd751bc9e,[REC.],Official,2022-01-18,KR,YUJU,KONNECT Entertainment,Konnect Entertainment
2967b3dd-6965-4041-ac50-9fc5444ae128,Waves,Official,2020-07-27,AF,"KANGDANIEL, Simon Dominic, JAMIE",KONNECT Entertainment,Konnect Entertainment
2b880642-6f18-4620-b833-be32722dacc4,YELLOW,Official,2021-04-13,KR,KANGDANIEL,KONNECT Entertainment,Konnect Entertainment
3735e9d9-c715-43dd-9516-5544c0e433db,O,Official,2023-03-07,,YUJU,KONNECT Entertainment,Konnect Entertainment
38ae37e4-4219-494b-9da2-5de0fdfcaab0,CYAN,Official,2020-03-24,KR,KANGDANIEL,KONNECT Entertainment,Konnect Entertainment
397ad515-d29a-41ba-b85d-4c6c49db84ec,CYAN,Official,2020-03-24,AF,KANGDANIEL,KONNECT Entertainment,Konnect Entertainment
3bcf19c3-8db6-4742-8f21-2a5004c49e27,The Story : RETOLD,Official,2022-11-24,KR,KANGDANIEL,KONNECT Entertainment,Konnect Entertainment
4bf822a8-ac0c-447d-b9e2-1176f77c32f0,CYAN,Official,2020-03-24,KR,KANGDANIEL,KONNECT Entertainment,Konnect Entertainment
5aa7947e-6a00-4843-bf84-c0d8737bf551,DALALA,Official,2023-09-20,,YUJU,KONNECT Entertainment,Konnect Entertainment
5e46c1ba-a11a-4015-a437-f769677cb8a0,Santa Tell Me,Official,2023-12-23,XW,YUJU,KONNECT Entertainment,Konnect Entertainment
