release_id,title,status,release_date,country,artists
b12d304a-b1d5-4499-8229-dd7da1cead50,Choerry,Official,2017-07-28,KR,이달의 소녀
b6584b44-9510-4841-95e9-61c13f8eaf8a,beauty&thebeat,Official,2018-05-30,XW,이달의 소녀 yyxy
b784e2df-91f1-46ec-ab5a-190c45421ee3,HyunJin,Official,2016-11-17,XW,이달의 소녀
b8ebf0c6-7922-4729-bc55-1b556c862f29,Love&Evil,Official,2017-04-28,KR,이달의 소녀 1/3
b9c5d56e-811a-4866-9c2b-d660b055d867,Choerry,Official,2017-07-28,XW,이달의 소녀
bad44d90-2d12-4ec7-8bc1-4780ff029ad9,Love & Live,Official,2017-03-13,XW,이달의 소녀 1/3
bf41843c-3e57-49df-90ba-4dbd579814a0,Kim Lip,Official,2017-05-26,KR,이달의 소녀
bf8b1f51-577d-4a2c-82b6-60f1b4755a0f,YeoJin,Official,2017-01-16,XW,이달의 소녀
c0fc56eb-b656-41bc-bd3a-062867147313,beauty&thebeat,Official,2018-05-30,KR,이달의 소녀 yyxy
c357c78e-a52e-4743-a6c0-d383aad9a34b,The Carol 2.0,Official,2017-12-13,US,이달의 소녀
c430bd8b-07b8-4ee0-a125-7339937c61db,favOriTe,Official,2018-08-07,KR,이달의 소녀
c8eb16b1-75fe-47d8-8dfa-962fd41c8f2c,Kim Lip&JinSoul,Official,2017-06-26,KR,이달의 소녀
c92c8b56-4f7a-464e-9c7f-2cde44ad54cd,JinSoul,Official,2017-06-26,XW,이달의 소녀
c9627167-9da8-48e0-b918-041572a4f044,HaSeul,Official,2016-12-15,,이달의 소녀
ca155c68-5d29-4eff-b4e9-11c44276ab0a,Yves&Chuu,Official,2017-12-28,KR,이달의 소녀
cc4b5a55-35e5-4713-a67c-eff1dc8d2e75,HeeJin,Official,2016-10-05,KR,이달의 소녀
cc7c55ee-5f40-44be-b616-1c8241af11a5,JinSoul,Official,2017-06-26,KR,이달의 소녀
cf25ae92-c624-47a1-bda9-b86cbedcc348,HyunJin,Official,2016-11-17,KR,이달의 소녀
d1746a0a-5eb5-42fb-b0f2-3337e99dfa62,LOONA&HaSeul,Official,2016-12-15,KR,이달의 소녀
d3e37229-47b3-4524-b85a-7a9fa8a3d26d,ViVi,Official,2017-04-17,KR,이달의 소녀
d475b7ac-1c78-4db8-b150-67c69e680e15,Kim Lip,Official,2017-05-26,KR,이달의 소녀
d506930a-b60c-440f-99bb-627ac2bf2bb9,Chuu,Official,2017-12-28,KR,이달의 소녀
d5385793-03c8-4653-862c-73d81ee535b2,YeoJin,Official,2017-01-16,KR,이달의 소녀
d54b5b3f-d424-44a8-a0ae-aefb8cf4f494,Orbit 1.0,Pseudo-Release,2018-10-31,KR,이달의 소녀
d5c3cf25-01a3-4176-8ad1-1ff9a43a1daf,HaSeul,Official,2016-12-15,KR,이달의 소녀
db9f9cd8-7de0-47b2-8930-b367e542dca6,YeoJin,Official,2017-01-16,KR,이달의 소녀
ddf80ac7-46d2-40b6-86cb-a05801288f87,Love & Evil,Official,2017-04-27,XW,이달의 소녀 1/3
df8619c8-c863-40ef-80d5-fb211445b5f4,[+ +],Official,2018-08-20,KR,이달의 소녀
df9c6f06-62fe-48af-86e1-ca935c04f539,Love & Live,Official,2017-03-13,KR,이달의 소녀 1/3
e0fe157f-fa76-4938-906b-52a54ee43e16,[+ +],Official,2018-08-20,KR,이달의 소녀
e16fbc0c-5c16-4095-a9e0-e11f75fb7642,Mix & Match,Official,2017-09-21,XW,ODD EYE CIRCLE
