release_id,title,status,release_date,country,artists
9d1867f8-5fa1-45d6-a827-69f73d034865,INFINITE ONLY,Official,2016-09-19,KR,INFINITE
9e9d7f1a-ed87-4645-bf2e-851618a7e907,Reality,Official,2015-07-13,KR,INFINITE
a23e8a14-a28f-4af3-b9e5-59694e284319,Lovelyz8,Official,2015-10-01,XW,Lovelyz
a29d4d6c-49e0-43fa-b4a9-a22d317b4ecd,New Challenge,Official,2013-03-25,KR,INFINITE
a68c71d6-a432-464b-b354-0b2e1e514a31,epilogue,Official,2010-03-09,KR,Epik High
a85bd949-c76d-46b6-9453-d13a95384f5f,High Society,Official,2006-04-04,KR,Epik High
ad210ce1-04d4-4bb7-aa21-49221727e868,INFINITIZE,Official,2012-05-15,XW,INFINITE
add74447-1eb5-47de-89b2-05fe39e8fc41,떠나가,Official,2013-11-29,KR,TASTY
addd5976-306d-4501-9ddc-cde490be9c63,Newton's Apple,Official,2014-02-27,XW,NELL
adf05fb9-97f0-4514-8239-38deb5406c4c,27,Official,2015-05-11,KR,김성규
af1b0883-244a-42e6-8fb7-bd724c9a93fb,INSPIRIT,Official,2011-03-17,KR,INFINITE
af225e36-21a6-40c1-94cb-74b45f193c15,OVER THE TOP,Official,2011-07-21,KR,INFINITE
ba6eb024-43a9-416f-8073-6541458dd26b,New Challenge,Official,2013-03-25,KR,INFINITE
badd24e7-74be-4007-9e0b-4af5813bed66,Write..,Official,2016-05-09,KR,남우현
c457ec32-b28a-4a58-88a8-04931618decc,FIRST INVASION,Official,2010-06-09,KR,INFINITE
c4eb3612-4abc-46da-8583-988f61112ac4,Toheart,Official,2014-03-10,KR,Toheart
c6c613a0-a0ee-4486-8984-459ce8600ca1,Be Back,Official,2014-07-22,KR,INFINITE
d188efd6-37fd-4c19-84e6-0f39d57b46fd,Can U Smile,Official,2011-05-09,KR,INFINITE
d1afbea4-a954-40c2-8308-fd9bac8c45d7,"Pieces, Part One",Official,2008-04-17,KR,Epik High
d4e5b398-d5b2-4247-af54-364a638157bc,Hi~,Official,2015-03-03,KR,Lovelyz
d4ed9939-e6e2-4974-86d8-298f44ca64ee,Girls' Invasion,Official,2014-11-17,KR,Lovelyz
d5150e75-822c-4514-a711-c4d3b4ac77b3,Reality,Official,2015-07-13,KR,INFINITE
d84ba5e3-5a06-4cdf-9909-87d20158d54c,Write..,Official,2016-05-09,KR,남우현
d8a3d3a9-e3e2-45d0-886f-00d2f3b2809a,A New Trilogy,Official,2016-04-25,KR,Lovelyz
d93fc51a-63e1-4df9-9020-8b8d1ccceb52,Season 2,Official,2014-05-21,KR,INFINITE
db2bc9e3-eaf1-4913-a57b-726d8e2e80b5,Inspirit,Official,2011-03-17,KR,INFINITE
e597916a-4178-4114-8d78-09d574c92096,Evolution,Official,2011-01-06,KR,INFINITE
e740aa68-15c2-4b0e-8d98-0c7c0fb58e39,Delight,Official,2013-04-24,KR,유지애
ea0c8480-96c0-4fdc-a68f-8d727fc398fa,New Challenge,Official,2013-03-21,KR,INFINITE
eac523bd-cf7a-4f13-ac35-873de6f7dd73,SPECTRUM,Official,2012-08-09,KR,TASTY
eb273ebf-4262-4a2f-9549-52a4d0eff06f,Paradise,Official,2011-09-26,KR,INFINITE
ebdd964b-b789-4ce5-bec6-c8e69fbfbd96,Fly Again,Official,2015-01-26,KR,INFINITE H
ebf17d8b-949f-4e81-9753-011a3880823d,Lovelyz8,Official,2015-10-02,KR,Lovelyz
ed44c264-85c9-4c62-931a-d46b1bac6df9,Be Back,Official,2014-07-22,KR,INFINITE
f0dc7793-4de1-426f-9484-3cfd588bb2f6,Write..,Official,2016-05-09,KR,남우현
f1a707a8-09e9-47f0-884f-1640488fcb68,Slip Away,Official,2012-04-10,XW,NELL
f753098f-e121-4c09-bf84-8cb601937317,Be Back,Official,2014-07-22,XW,INFINITE
fd73047c-16a5-4c7c-b8b1-4816b77fac73,SPECTRUM,Official,2012-08-09,KR,TASTY
fe1bd4f3-f2ca-46c6-8f3c-2e3a5ae54f81,Hi~,Official,2015-03-03,XW,Lovelyz
fecd292e-9f3b-4826-836d-e1f62da3f111,Another Me,Official,2012-11-19,KR,김성규
01767444-8408-4355-915b-5b7df0e43119,BLUE PUNCH,Official,2020-08-04,XW,Rocket Punch
0a2c6bda-86f4-4b46-ab72-2562de105224,R U Ready?,Official,2017-02-26,KR,Lovelyz
0b4bb18d-35a1-4d17-98ba-3d38b5d984a4,Rookie Cops (Original Television Soundtrack) Pt. 4,Pseudo-Release,2022-02-23,,KWON EUNBI
0bd8f333-4147-47ab-be24-9fc97ac7642c,With,Official,2021-10-19,XW,남우현
0c759c2a-3432-4988-92e3-6865fef877a5,WISH,Official,2018-10-24,KR,Golden Child
0f435657-671b-43ad-b4e0-7669f3d27ade,순천의 하늘 아래에서,Official,2020-12-24,KR,"Lovelyz, Golden Child"
